load,tempc,year,month,day,hour
3409,-4,2017,1,23,10
3313,-4,2017,1,23,11
3380,-3,2017,1,23,12
3353,-3,2017,1,23,13
3271,-3,2017,1,23,14
3289,-3,2017,1,23,15
3396,-2,2017,1,23,16
3262,-2,2017,1,23,17
3348,-2,2017,1,23,18
3594,-3,2017,1,23,19
3601,-3,2017,1,23,20
3557,-3,2017,1,23,21
3432,-3,2017,1,23,22
3260,-3,2017,1,23,23
3001,-3,2017,1,24,0
2853,-4,2017,1,24,1
2668,-4,2017,1,24,2
2677,-4,2017,1,24,3
2666,-4,2017,1,24,4
2632,-4,2017,1,24,5
2790,-5,2017,1,24,6
2963,-5,2017,1,24,7
3195,-5,2017,1,24,8
3334,-5,2017,1,24,9
3397,-5,2017,1,24,10
3403,-4,2017,1,24,11
3251,-2,2017,1,24,12
3191,-1,2017,1,24,13
3108,-1,2017,1,24,14
3158,0,2017,1,24,15
3184,0,2017,1,24,16
3037,0,2017,1,24,17
3155,-2,2017,1,24,18
3323,-3,2017,1,24,19
3370,-2,2017,1,24,20
3316,-2,2017,1,24,21
3234,-3,2017,1,24,22
3122,-4,2017,1,24,23
2836,-5,2017,1,25,0
2659,-6,2017,1,25,1
2486,-6,2017,1,25,2
2557,-7,2017,1,25,3
2474,-7,2017,1,25,4
2473,-8,2017,1,25,5
2511,-8,2017,1,25,6
2705,-8,2017,1,25,7
3002,-8,2017,1,25,8
3157,-7,2017,1,25,9
3173,-6,2017,1,25,10
3137,-6,2017,1,25,11
3151,-3,2017,1,25,12
3037,-1,2017,1,25,13
2975,0,2017,1,25,14
2937,1,2017,1,25,15
3028,1,2017,1,25,16
3008,0,2017,1,25,17
3074,-2,2017,1,25,18
3243,-4,2017,1,25,19
3333,-4,2017,1,25,20
3263,-5,2017,1,25,21
3272,-6,2017,1,25,22
3129,-7,2017,1,25,23
2963,-7,2017,1,26,0
2715,-8,2017,1,26,1
2519,-8,2017,1,26,2
2580,-9,2017,1,26,3
2552,-9,2017,1,26,4
2445,-10,2017,1,26,5
2548,-11,2017,1,26,6
2746,-9,2017,1,26,7
2861,-10,2017,1,26,8
2951,-10,2017,1,26,9
3033,-7,2017,1,26,10
3099,-6,2017,1,26,11
3161,-4,2017,1,26,12
3028,-4,2017,1,26,13
2940,-2,2017,1,26,14
2997,-2,2017,1,26,15
2999,-2,2017,1,26,16
2980,-2,2017,1,26,17
3136,-4,2017,1,26,18
3406,-5,2017,1,26,19
3428,-6,2017,1,26,20
3338,-7,2017,1,26,21
3295,-7,2017,1,26,22
3147,-7,2017,1,26,23
3019,-7,2017,1,27,0
2750,-8,2017,1,27,1
